season,team,conference,offense.ppa,offense.successRate,offense.explosiveness,offense.powerSuccess,offense.pointsPerOpportunity,offense.fieldPosition.averageStart,offense.standardDowns.successRate,offense.passingDowns.ppa,offense.rushingPlays.ppa,offense.passingPlays.ppa,defense.ppa,defense.successRate,defense.explosiveness,defense.powerSuccess,defense.stuffRate,defense.pointsPerOpportunity,defense.fieldPosition.averageStart,defense.havoc.total,defense.rushingPlays.ppa,defense.passingPlays.ppa
2025,Georgia State,Sun Belt,-0.0451591537869514,0.224137931034483,1.48787048086652,1,0,73,0.333333333333333,-0.143030912689091,0.137370073780478,-0.303742226174143,0.503912859794602,0.62962962962963,1.2245058311086,0.833333333333333,0.116279069767442,5.5,68.1,0.194,0.46327596876153,0.684220861725204
2025,Georgia Tech,ACC,0.349779370850058,0.588235294117647,1.09153875475595,0.857142857142857,5,78.3,0.62962962962963,0.425875642055949,0.357860927177937,0.331692078116234,0.151642649140003,0.389830508474576,1.19052488198168,0.6,0.103448275862069,5,66.8,0.103,0.144031645818177,0.1589999523511
2025,Hawai'i,Mountain West,-0.00239897527817728,0.378571428571429,1.18563863884547,0.333333333333333,2.9,74.9,0.397849462365591,0.49105199442806,-0.214178258425006,0.104629264591725,0.158263630650846,0.3828125,1.29732660067827,1,0.128571428571429,3.91666666666667,66,0.105,0.390158857929123,-0.0479791803567948
2025,Houston,Big 12,-0.00519525470326524,0.333333333333333,1.35823794709858,0.333333333333333,4.5,61.1,0.30952380952381,0.338566348058644,-0.105125849173134,0.144700637001539,-0.263966936212944,0.180327868852459,1.14232028092079,0,0.375,0,75.6,0.707,-0.192491977002109,-0.216092968004029
2025,Illinois,Big Ten,0.54114936435462,0.576271186440678,1.37716807898224,1,4.75,56.2,0.627906976744186,0.921977019457409,0.380577708870687,0.759526815812769,-0.175906855468081,0.230769230769231,1.40606770034486,0.333333333333333,0.347826086956522,1.5,74.3,0.234,-0.325132703415999,-0.0575553208886977
2025,Indiana,Big Ten,0.101433499981805,0.528089887640449,0.775957533966149,0.538461538461538,2,70.8,0.539473684210526,0.555298937497512,0.246713109587306,-0.145101595106318,0.302865432122966,0.372093023255814,1.65261862162903,0.666666666666667,0.227272727272727,0,81.5,0.186,0.479526614721671,0.138743279375759
2025,Iowa,Big Ten,0.254273451909245,0.558823529411765,0.880481349375295,0.846153846153846,5.66666666666667,70.1,0.603448275862069,0.161280127567395,0.271957699638561,0.201220708721297,-0.0191752834302975,0.212765957446809,1.63458251263716,1,0.210526315789474,3.5,73.6,0.128,-0.0658377377610614,0.0124885248655779
2025,Iowa State,Big 12,0.330506233277721,0.453237410071942,1.30500754391453,0.555555555555556,4.75,64.3,0.480769230769231,0.403514237096879,0.19825679838311,0.520759806284003,0.073796051084959,0.327102803738318,1.4912654452422,0.4,0.276595744680851,2.33333333333333,73.1,0.06,-0.161105856595717,0.264833967703695
2025,Jacksonville State,Conference USA,0.0688808975133351,0.382352941176471,1.28365246986074,0.666666666666667,2,77.2,0.431818181818182,0.261759923048413,0.233399314717151,-0.116202321840958,0.22045456154268,0.394366197183099,1.72258123238907,1,0.222222222222222,2.83333333333333,73.2,0.213,-0.0231747757528714,0.471044737046675
2025,James Madison,Sun Belt,0.278344758607379,0.47887323943662,1.32524486167331,0.666666666666667,4.5,62.5,0.509803921568627,0.418950635086613,0.418885454718535,0.212202873868676,-0.140379492248615,0.25,0.978052898345672,0.333333333333333,0.290322580645161,1,73.1,0.269,-0.248994563812053,-0.00569680350995158
2025,Kansas,Big 12,0.356546516579332,0.595744680851064,0.94027845833158,0.75,4.6,65.8,0.669565217391304,0.478553842546641,0.130466505931564,0.795621236542844,-0.0163733616480738,0.247619047619048,1.50034587221013,0.75,0.307692307692308,2.33333333333333,77.3,0.277,-0.275248911692164,0.308506726125892
2025,Kansas State,Big 12,0.223923439698601,0.423076923076923,1.42948094380813,0.454545454545455,3.75,69,0.454545454545455,0.186265985892762,0.014005221107118,0.373075858171496,0.136016668847223,0.356164383561644,1.51866974573036,0.545454545454545,0.273972602739726,4.53846153846154,68.1,0.172,0.0876997854301596,0.184333552264286
2025,Kennesaw State,Conference USA,0.0742579749651157,0.297297297297297,1.38341568751517,0.75,2.5,76.5,0.305555555555556,0.355785901943492,0.146610965636431,-0.00211462629905045,0.0527545260947057,0.424657534246575,1.01422610884584,0.625,0.214285714285714,1.66666666666667,68.4,0.125,-0.0131580164622629,0.142055390204147
2025,Kent State,Mid-American,0.125043688492049,0.357142857142857,1.31754917783818,0.666666666666667,2.33333333333333,71.9,0.45945945945946,0.230403501971233,-0.190798996965393,0.613164202380824,0.0732646463706411,0.323076923076923,1.44103981691546,0,0.25,2.66666666666667,73.2,,0.0803104135437299,0.0664323872937064
2025,Kentucky,SEC,0.0989717872426786,0.484375,0.956187949318934,0.8,3.4,64.5,0.58,-0.142193643282298,0.283279934177549,-0.0792087842587807,0.0404908476861753,0.308823529411765,1.42526087928563,0.333333333333333,0.214285714285714,4.66666666666667,78.5,0.134,-0.328103276593554,0.30323981678614
2025,Liberty,Conference USA,0.130150304203208,0.45945945945946,1.15513521508587,0.625,4.66666666666667,64.5,0.481481481481481,0.565090716982052,0.111408464546193,0.152199527329109,0.117847895780111,0.295081967213115,1.95232882495998,1,0.241379310344828,1.4,77.6,0.161,0.202397108628407,0.0786301178137984
2025,Louisiana,Sun Belt,0.0431910795799465,0.310344827586207,1.27036805900373,0.4,3.25,81.1,0.264705882352941,0.293452882407943,0.237991627371409,-0.140251192042048,-0.00144098161333806,0.419354838709677,0.854871376144929,0.571428571428571,0.156862745098039,2.8,66.5,,-0.0161883071607028,0.0669329822880801
2025,Louisiana Tech,Conference USA,0.0275930071577793,0.415094339622642,0.88418322269286,1,2.83333333333333,66,0.487179487179487,0.126187865207418,0.0270224153293863,0.0283372573687268,-0.224598066729597,0.333333333333333,1.26514698189612,0.75,0.205128205128205,-1.75,76.2,,-0.215435094672351,-0.125300366818932
2025,Louisville,ACC,0.344551495036325,0.590909090909091,1.26343252509313,0.714285714285714,5.42857142857143,69.3,0.615384615384615,0.789614576916527,0.408776985804913,0.291030252729169,-0.0931606483224401,0.207547169811321,1.38485232446755,0.5,0.171428571428571,5,69.4,,-0.0395568578733797,-0.19739024086228
2025,LSU,SEC,0.0620529567036203,0.414285714285714,1.07163231708075,0.8,2.42857142857143,73,0.468085106382979,0.156042007505785,0.0183920448142594,0.0967577841028559,-0.0111767038922714,0.344827586206897,1.28709158736319,1,0.277777777777778,2,71.3,0.069,-0.034440213708819,-0.000708124474824952
2025,Marshall,Sun Belt,0.000619977516188865,0.254901960784314,1.17312189498959,0.5,7,79.8,0.290322580645161,0.199914427110059,-0.160058843036034,0.249672149372134,0.380383536816139,0.5,1.28139141289749,0.8,0.113636363636364,6.33333333333333,68.9,0.258,0.293222220161383,0.500230347216428
2025,Maryland,Big Ten,0.0378919955454791,0.324675324675325,1.24241088371139,0.25,3.33333333333333,67.7,0.346938775510204,0.308562059731151,-0.190807223503343,0.176064440387476,-0.228075485359925,0.252747252747253,1.61348439079417,1,0.206896551724138,1.16666666666667,71,0.274,-0.193181269882894,-0.100423921512706
2025,Massachusetts,Mid-American,-0.0665533200243619,0.311475409836066,1.2003008089145,0.5,2.5,74.8,0.289473684210526,0.429293010384381,-0.200468553464032,0.122428219418232,0.474802597104663,0.523076923076923,1.29679869645512,0.5,0.194444444444444,7,75,,0.0561278735026084,0.994536736748593
2025,Memphis,American Athletic,0.441416877912839,0.566666666666667,1.22035296831541,0.75,5.42857142857143,67.7,0.5625,1.24934985862612,0.439010399463694,0.444358129350683,-0.119136202157251,0.375,1.06293038637486,0,0.285714285714286,2.5,73.2,,-0.139914115287438,0.00938558022359143
2025,Miami,ACC,0.164006007292876,0.5,0.886361320407192,0.714285714285714,3,69.1,0.58,0.189608429740983,-0.0789312791491263,0.453963413691395,0.180955003763447,0.448275862068966,1.23943095910107,0.4,0.192307692307692,7,76.2,0.069,0.17315387892545,0.18729341769432
2025,Miami (OH),Mid-American,-0.192063782422458,0.282051282051282,0.849650200848492,1,0,75.8,0.36,-0.173635599663183,-0.219204042131131,-0.0179162178147612,0.131948909001237,0.48,1.03563786338712,0.8,0.125,2.83333333333333,77.6,0.133,0.397003998101214,-0.0610990141767507
2025,Michigan,Big Ten,0.384687701994675,0.435483870967742,1.41322736743411,0.833333333333333,4.5,71.2,0.477272727272727,0.746667869816821,0.328635526228463,0.43394567463771,-0.0516496196756092,0.381578947368421,0.93255723169151,0.4,0.2,3.4,70.9,,-0.20846414147697,0.117354279926932
2025,Michigan State,Big Ten,0.00815341565771084,0.485714285714286,1.01409413877445,0.75,4,66.5,0.596153846153846,-0.261168490568788,-0.123160696923971,0.205124584530234,-0.202567994651897,0.228070175438596,1.5243469245864,,0.4,0,80.6,2.222,-0.190877186982824,-0.144144650880624
